Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"La. R.S. 15:643","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-643.html","Register as a violent offender against peace officers","1","All","Additional offense details:
La. R.S. 15:642(2), (3)

See also:
La. R.S. 15:645","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Law enforcement, corrections & public safety","Crimes of violence, including 'person offenses'|Weapons offenses","Mandatory/Automatic","Time-limited"
"La. R.S. 15:827.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-827-1.html","Ineligible for state prison reentry preparation program (specific offenses/non-habitual offenders)","1","(E)(3)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Law enforcement, corrections & public safety","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 17:2048.31","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-17-sect-2048-31.html","Background check to enroll in health occupations training program","1","(A), (C)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Education","Health care|Education & schools","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. R.S. 17:3974","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-17-sect-3974.html","Ineligible to be certified as charter school authorizer (conviction of officer/administrator/director/manager)","4","(A)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Business licensure & participation","Education & schools","Any felony","Mandatory/Automatic","Time-limited"
"La. R.S. 17:416","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-17-sect-416.html","Deny admission/expel from school (felony-equivalent juvenile adjudication)","2","(D)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Education","Education & schools|Students & interns","Any felony","Discretionary","Indefinite"
"La. R.S. 18:171","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-18-sect-171.html","Publish state felony conviction to registrar of voters","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Registration, publication & notification","Civil rights & voting","Any felony","Mandatory/Automatic","Indefinite"
"La. R.S. 18:171.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-18-sect-171-1.html","Publish federal felony conviction to registrar of voters","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Registration, publication & notification","Civil rights & voting","Any felony","Mandatory/Automatic","Indefinite"
"La. R.S. 18:427","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-18-sect-427.html","Ineligible to serve as election watcher","1","(A)","Relief:
La. R.S. 18:177
See also:
La. Const. Art. I,§ 10(A)
La. R.S. 18:102(A)(1)
La. R.S. 18:102(B)
La. R.S. 18:2(8)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Public employment|Public office","Any felony","Mandatory/Automatic","Time-limited"
"La. R.S. 18:451","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-18-sect-451.html","Ineligible to be a candidate for elected office","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Public employment|Public office","Any felony","Mandatory/Automatic","Indefinite"
"La. R.S. 18:461","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-18-sect-461.html","Ineligible to be a candidate in a primary election","1","(A)(1), (3)","Conviction self-disclosure requirement:
La. R.S. 18:463

See also:
La. Const. Art. I,§ 10
La. R.S. 18:463(A)(1)(a)
La. R.S. 18:463(A)(2)(a)(iii)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Public employment|Public office","Any felony","Mandatory/Automatic","Time-limited"
"La. R.S. 21:52","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-21-sect-52.html","Impose civil penalty (guide/service dog rights)","1","(B)","Other triggering offenses:
Offenses related to depriving any blind/visually impaired/deaf/hard of hearing person/persons with any other physical disability who is accompanied by a properly controlled dog/person who is qualified to provide training for a guide dog/service animal of full and equal accommodations, advantages, facilities, and privileges of all public accommodation, amusement/resort/other places","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Limitations on imposition of collateral consequences|Civil rights & voting","Other","Discretionary","Indefinite"
