Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"La. R.S. 6:1099","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-6-sect-1099.html","Notify Attorney General of mortgage violations","1","All","Other triggering offenses:
Offenses related to engaging business as a mortgage lender/broker/originator/servicer without a license
Offenses related to the practice as a mortgage broker/lender","Links may point to unofficial sources where direct linking to official sources is unavailable.

See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation|Registration, publication & notification|Occupational & professional licensure & certification","Real estate & property|Banking, lending, securities & finance","Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"LAC 28:CXV.502","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Notify local educational agency of DUI conviction of school bus operator","1","(E)","Additional offense details:
La. R.S. 14:98(A)(1)
La. R.S. 14:98.1(A)","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Registration, publication & notification","Transportation & commercial motor vehicles|Public employment|Education & schools","Controlled substances offenses|Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"LAC 28:IV.2303","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for Tuition Payment Program for medical school students","1","(A)(7)","See also:
LAC 28:IV.2301(B)(1)","","2023 legislative session and all 2023 regulatory rulemaking","","Government loans & grants|Education","Health care|Education & schools|Students & interns","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
"LAC 28:IV.2309","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Revoke award from Tuition Payment Program for medical school students","1","(A)(5)","See also:
LAC 28:IV.2301(B)(1)","","2023 legislative session and all 2023 regulatory rulemaking","","Government loans & grants|Education","Health care|Education & schools|Students & interns","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
"LAC 28:IV.903","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for Tuition Opportunity Program for Students Teacher Award","1","(A)(6)","See also:
LAC 28:IV.901(B)(1), (3)","","2023 legislative session and all 2023 regulatory rulemaking","","Government loans & grants|Education","Education & schools|Teachers & instructors|Students & interns","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
"LAC 28:IV.907","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Revoke Tuition Opportunity Program for Students Tuition Opportunity Program Teacher Award","1","(A)(8)","See also:
LAC 28:IV.901(B)(1), (3)","","2023 legislative session and all 2023 regulatory rulemaking","","Government loans & grants|Education","Education & schools|Teachers & instructors|Students & interns","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
"LAC 28:LXXIX.3009","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for employment as paid/non-paid school staff/substitute/foster grandparent","1","(A)(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Adoption & foster care|Education & schools|Teachers & instructors","Any felony|Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Indefinite"
"LAC 28:XXIX.309","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Notify Supervisor of Transportation of moving violation convictions (school bus drivers)","1","(A)
(B)(12)","See also:
LAC 28:XXIX.303(A)","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Registration, publication & notification|Occupational & professional licensure & certification","Transportation & commercial motor vehicles|Public employment|Education & schools","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"LAC 28:XXXI.513","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for Driver and Traffic Safety Education teacher certification","1","(A)(3), (5)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Occupational & professional licensure & certification","Transportation & commercial motor vehicles|Public employment|Education & schools|Teachers & instructors","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"RS 39:1672","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Debar individual from consideration for public contract for professional/personal/consulting/social services","1","(C)","Other triggering offenses:
Offenses related to antitrust practices arising out of submission of bids/proposals","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation","Government procurement contracts & programs","Any felony|Any misdemeanor|Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Public corruption offenses","Discretionary","Indefinite"
"LAC 37:XIII.5117","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Revoke authorization to serve as officer/director/trustee of domestic insurer","1","(A)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Occupational & professional licensure & certification","Trusts, estates & guardianship|Insurance sales & services","Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude|Public corruption offenses","Discretionary","Indefinite"
"LAC 42:I.2309","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible to assist in holding/operation/conducting of casino night as private casino contractor","1","(C)","Additional offense details:
LAC 42:I.2301

Other triggering offenses:
Offenses related to gambling/gaming
","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Business licensure & participation","Gaming, lottery & racing|Fundraising, charities & nonprofits","Any felony|Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Varies"
"LAC 46:LXVII.5303","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny certification as real estate school","1","(A)
(D)(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Real estate & property|Education & schools","Any felony|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude|Public corruption offenses","Discretionary","Indefinite"
"LAC 46:LXVII.5501","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny certification as real estate education vendor","1","(A)
(E)(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Real estate & property|Education & schools","Any felony|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude|Public corruption offenses","Discretionary","Indefinite"
"LAC 46:XLIX.503","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for license as nursing home administrator","1","(A)(3)","Additional offense details:
La. R.S. 14:81.2

Background check:
LAC 46:XLIX.504","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Adult care, nursing homes & residential care facilities","Any felony|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude|Sex offenses","Mandatory/Automatic","Indefinite"
"LAC 46:XLV.6513","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny registration as dispensing physician","1","(B)(1), (2)
(C)","Additional offense details:
La. R.S. 37:1285(A)(1), (2), (30)
La. R.S. 37:1290
La. R.S. 37:1261 through La. R.S. 37:1292

Other triggering offenses:
Offenses related to the practice as a physician/surgeon/midwife
","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Physicians","Any felony|Any misdemeanor|Controlled substances offenses|Other","Varies","Indefinite"
"LAC 46:XLVII.3324","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check to enroll/progress in undergraduate clinical nursing courses (self-disclosure)","1","(B)(4)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Education|Occupational & professional licensure & certification","Health care|Education & schools|Nurses|Students & interns","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 46:XLVII.3403","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny/suspend/revoke license to practice as registered nurse/advanced practice registered nurse/student nurse","1","(A)
(D)(2), (9)","Additional offense details:
La. R.S. 37:925(B)
La. R.S. 37:911 to 37:935

Other triggering offenses:
Offenses related to the practice as a registered nurse

","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Education|Occupational & professional licensure & certification","Health care|Nurses|Students & interns","Any felony|Any misdemeanor","Discretionary","Indefinite"
"LAC 46:XXVII.705","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Suspend license of licensed chiropractor participating in the Impaired Chiropractic Substance Abuse Recovery Program","1","(A), (H)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Pharmacy & drugs|Psychiatry, psychology, counseling & mental health services|Chiropractics","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
"LAC 48:I.10019","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible to participate in nurse aide training program","1","(D)(1)","Additional offense details:
La. R.S. 40:2009.20(A)","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Education|Occupational & professional licensure & certification","Health care|Nurses","Crimes of violence, including 'person offenses'|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Sex offenses","Mandatory/Automatic","Indefinite"
"LAC 48:I.10033","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Publish conviction in nurse aide registry","1","(A), (D)","Other triggering offenses:
Offenses related to crimes against elderly/infirmed/nursing facility resident
","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Registration, publication & notification|Occupational & professional licensure & certification","Health care|Nurses","Crimes of violence, including 'person offenses'|Other","Mandatory/Automatic","Indefinite"
"LAC 48:I.18301","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Remove from Louisiana Emergency Response Network (LERN) board","1","(A), (E)","See also:
LAC 48:I.18305","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Health care|Public employment|Public office|Emergency services, management & fire","Any felony","Discretionary","Indefinite"
"LAC 48:I.18305","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Remove from Louisiana Emergency Response Network (LERN) board","1","(A)","See also:
LAC 48:I.18301","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Health care|Public employment|Public office|Emergency services, management & fire","Any felony","Discretionary","Indefinite"
"LAC 48:I.5263","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for non-licensed employment with pediatric day health care facility","1","(F)(1)
(G)","Additional offense details:
La. R.S. 40:1300.53(A)(1)

Other triggering offenses:
Offenses related to aggravated crime against nature
Offenses related to cruelty to the infirmed","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Health care|Child care providers & youth programs","Controlled substances offenses|Crimes of violence, including 'person offenses'|Other|Sex offenses","Mandatory/Automatic","Indefinite"
"LAC 48:I.5357","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for direct care employment with crisis receiving center","1","(D), (F)","Background check:
LAC 48:I.5361
La. R.S. 15:587.1","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Health care|Psychiatry, psychology, counseling & mental health services","Controlled substances offenses|Crimes of violence, including 'person offenses'|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Sex offenses","Mandatory/Automatic","Varies"
"LAC 48:I.5641","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible to be employed by behavioral health services provider as direct care staff","1","(D), (F)","Background check:
La. R.S. 15:587.1 et seq.","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Health care|Health care specialists (unlisted)","Controlled substances offenses|Crimes of violence, including 'person offenses'|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Sex offenses","Mandatory/Automatic","Varies"
"LAC 48:IX.919","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Revoke medication attendant certification","1","(A)(2), (3)","Other triggering offenses:
Offenses related to cruelty to the infirmed","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Pharmacy & drugs|Health care specialists (unlisted)","Crimes of violence, including 'person offenses'|Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"LAC 50:II.10305","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for employment with health care facility as non-licensed personnel","1","(E)(8)","Additional offense details:
La. R.S.§ 40:1300.53
La. R.S.§ 40:1300.52(C)
La. R.S.40:1300.51- R.S.40:1300.56

See also:
LAC 50:VII.30309 

Other triggering offenses:
Offenses related to cruelty to the infirmed/juveniles
Offenses related to crime against nature","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Health care","Controlled substances offenses|Crimes of violence, including 'person offenses'|Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Sex offenses","Mandatory/Automatic","Indefinite"
"LAC 55:I.3109","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible to be a motorcycle safety instructor","1","(A)(4), (5)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Occupational & professional licensure & certification","Driving & noncommercial motor vehicles|Education & schools|Teachers & instructors","Any felony|Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"LAC 55:I.3115","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Revoke motorcycle safety instructor status (DUI)","1","(A)(5)
(C)(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Driving & noncommercial motor vehicles|Education & schools|Teachers & instructors","Any felony|Controlled substances offenses|Motor vehicle offenses","Discretionary","Indefinite"
"LAC 55:VII.509","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny/revoke approval of responsible vendor program  (conviction of trainer)","1","(D)(1)(c), (d)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Tobacco|Alcohol permits, licenses & sales","Any felony|Controlled substances offenses|Motor vehicle offenses|Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Varies"
"LAC 76:I.521","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Remove member from seafood promotion and marketing board","1","(A)","","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Public employment|Public office|Wildlife, fish & game","Any felony|Public corruption offenses","Discretionary","Indefinite"
"LAC 76:V.133","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for film/entertainment industry animal (FEIA) permit","1","(A)(1)
(B)
(D)(5)","See also:
La. R.S. 56:32

Other triggering offenses:
Class II/higher offenses related to wildlife","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Domestic animals|Entertainment, athletics, news & broadcasting|Wildlife, fish & game","Any felony|Other|Recreational license offenses","Mandatory/Automatic","Varies"
"La. R.S.§ 36:254.3","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-36-sect-254-3.html","Background check to serve as an employee/contractor/subcontractor with the Department of Health, medicaid eligibility section","1","All","See also:
La. R.S.§ 15:587.5","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation|Employment & volunteering","Health care|Public employment|Medicaid, Medicare & other public health benefits|Government procurement contracts & programs","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. R.S. § 22:1660.4","","Suspend, revoke or deny application for pharmacy services administrative organization license ","1","(A)
(B)(5)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation|Occupational & professional licensure & certification","Health care|Pharmacy & drugs","Any felony|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude","Discretionary","Indefinite"
"La. C.C.P. Art. 4231","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Ineligible for appointment as tutor","1","(A)(3),(6)
(B), (C)","Additional offense details:
La. R.S. 14:2(B)
La. R.S. 15:542
La. R.S. 46:1844","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Trusts, estates & guardianship","Any felony|Controlled substances offenses|Crimes of violence, including 'person offenses'|Weapons offenses|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Sex offenses","Mandatory/Automatic","Indefinite"
"La. R.S.§ 22:1566","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-22-sect-1566.html","Deny health insurance navigator license","1","(A)
(C)(1)
(C)(2)(c)
(C)(5)
(D)(1)","Additional offense details:
La. R.S. 14:75
La. R.S. 22:1554A(7), (15), (16), (18), (19)","Links may point to unofficial sources where direct linking to official sources is unavailable.

See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Insurance sales & services","Any felony|Child Support offenses|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude|Public corruption offenses","Mandatory/Automatic","Indefinite"
"La. R.S.§ 27:28","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-27-sect-28.html","Ineligible for casino license/permit/operating contract (discretionary for any crime)","2","All","Additional offense details:
La. R.S. 14:2(B)

Other triggering offenses:
Offenses related to gambling","Links may point to unofficial sources where direct linking to official sources is unavailable.

See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation|Occupational & professional licensure & certification","Gaming, lottery & racing","Any felony|Any misdemeanor|Crimes of violence, including 'person offenses'|Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"La. R.S. 13:3858","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-13-sect-3858.html","Impose civil liability for violation of laws governing seizure of property (conviction of sheriff/recorder of mortgages)","2","All","Additional offense details:
La. R.S. 13:3851-3861","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights|Civil fines, liability, forfeiture & property rights","Real estate & property|Banking, lending, securities & finance|Law enforcement, corrections & public safety|Public employment|Public office","Public corruption offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 17:443","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-17-sect-443.html","Discipline tenured teacher (education)","1","(A)
(B)(1)
(C)","Additional offense details:
 La. R.S. 14:80 through 14:93.15

Other triggering offenses:
Offenses related to abortion
Offenses related to crimes against nature
Offenses related to crimes involving health and safety","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment|Education & schools|Teachers & instructors","Controlled substances offenses|Crimes of violence, including 'person offenses'|Other|Sex offenses","Discretionary","Indefinite"
"La. R.S. 17:493","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-17-sect-493.html","Discharge from employment as permanent school bus operator","1","(B),(D)","Additional offense details:
La. R.S. 14:98
La. R.S. 14:32.1
La. R.S. 14:32.8(A)(2)
La. R.S. 14:39.1
La. R.S. 14:39.2
La. R.S. 14:80 through 14:93.15

Other triggering offenses:
Offenses related to abortion
Offenses related to crimes against nature
Offenses related to crimes involving health and safety","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Transportation & commercial motor vehicles|Public employment|Education & schools","Controlled substances offenses|Crimes of violence, including 'person offenses'|Other|Sex offenses","Discretionary","Indefinite"
"La. R.S. 18:1467","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-18-sect-1467.html","Ineligible to serve as commissioner-in-charge/commissioner/watcher/parish custodian of voting machines employee/deputy clerk of court/law enforcement officer for an election","6","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Law enforcement, corrections & public safety|Public employment|Public office|Court personnel, general legal services & bail bonds","Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Election-related offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 22:1557","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-22-sect-1557.html","Suspend/revoke insurance producer license (conviction for paying commissions to unlicensed persons)","1","(B)(1)(A),(B)","Additional offense details:
La. R.S. 22:1554(A)

Other triggering offenses:
Offenses related to insurance
Offenses related to failure to pay state income taxes","Links may point to unofficial sources where direct linking to official sources is unavailable.

See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","Any felony|Other|Child Support offenses|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude|Public corruption offenses","Discretionary","Indefinite"
"La. R.S. 22:1562","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-22-sect-1562.html","Suspend/revoke insurance producer license (improper commission payments)","1","(A), (B)","Additional offense details:
La. R.S. 22:1554(A)

Other triggering offenses:
Offenses related to insurance
Offenses related to failure to pay state income taxes","Links may point to unofficial sources where direct linking to official sources is unavailable.

See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","Any felony|Other|Child Support offenses|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude|Public corruption offenses","Discretionary","Indefinite"
"La. R.S. 26:280","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-26-sect-280.html","Deny low alcoholic content beverage permit (conviction of applicant/manager/agent/employee)","2","(A)(4)-(6), (8), (9)
(D)
(F)(2)
(H)","Additional offense details:
La. R.S. 26:521
La. R.S. 14:2(B)

Other triggering offenses:
Offenses related to contributing to the delinquency of juveniles
Offenses related to theft
Offenses related to gambling
Offenses related to keeping/letting a disorderly place","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Business licensure & participation","Alcohol permits, licenses & sales","Any felony|Controlled substances offenses|Crimes of violence, including 'person offenses'|Other|Sex offenses","Varies","Varies"
"La. R.S. 26:80","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-26-sect-80.html","Deny alcoholic beverage permit (conviction of applicant/manager/agent/employee)","2","(A)(4)-(6), (8), (9)
(D)
(F)(2)
(H)","Additional offense details:
La. R.S. 26:171
La. R.S. 40:964
La. R.S. 14:2(B)

Other triggering offenses:
Offenses related to contributing to the delinquency of juveniles
Offenses related to keeping/letting a disorderly place","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Business licensure & participation","Alcohol permits, licenses & sales","Any felony|Controlled substances offenses|Crimes of violence, including 'person offenses'|Other|Sex offenses","Varies","Varies"
"La. R.S. 32:409.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-409-1.html","Ineligible for commercial/chauffeur/personal driver's license","2","(A)(6)©(iii)","Additional offense details:
49 USCS§ 30304(a)(3)","Links may point to unofficial sources where direct linking to official sources is unavailable.

See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)|Employment & volunteering|Occupational & professional licensure & certification","Transportation & commercial motor vehicles|Driving & noncommercial motor vehicles","Controlled substances offenses|Crimes of violence, including 'person offenses'|Motor vehicle offenses","Discretionary","Indefinite"
"La. R.S. 33:2432","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-33-sect-2432.html","Deny/terminate employment/appointment in city service","2","All","Additional offense details:
La. R.S. 33:2426
La. R.S. 33:2429 
La. R.S. 33:2430
La. R.S. 33:2395 to 33:2434

Other triggering offenses:
Offenses related to civil service
Offenses related to refusal to testify

","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Public employment|Public office","Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Public corruption offenses|Election-related offenses","Mandatory/Automatic","Varies"
"La. R.S. 33:2553","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-33-sect-2553.html","Deny/discharge from employment with fire/police civil service (small municipalities/parishes/fire protection districts)","2","(A)(5)(d)
(B)","See also:
La. R.S. 33:2535
La. R.S. 33:2541","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Law enforcement, corrections & public safety|Public employment|Public office|Emergency services, management & fire","Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude","Discretionary","Indefinite"
"La. R.S. 33:4575.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-33-sect-4575-1.html","Ineligible for appointment to the St. Tammany Parish Tourist and Convention Commission","1","(A)","Relief:
La. R.S. 18:177

See also:
La. Const. Art. I,§ 10(A)
La. R.S. 18:102(A)(1)
La. R.S. 18:102(B)
La. R.S. 18:2(8)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Public employment|Public office|Entertainment, athletics, news & broadcasting|Public land & resource use|Immigration, naturalization & travel","Any felony","Mandatory/Automatic","Time-limited"
"La. R.S. 33:4578","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-33-sect-4578.html","Ineligible for appointment to the Ward 4 of Acadia Parish Community Center District board of commissioners","1","(A)
(B)(1)","Relief:
La. R.S. 18:177

See also:
La. Const. Art. I,§ 10(A)
La. R.S. 18:102(A)(1)
La. R.S. 18:102(B)
La. R.S. 18:2(8)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Public employment|Public office|Education & schools|Entertainment, athletics, news & broadcasting|Public land & resource use","Any felony","Mandatory/Automatic","Time-limited"
"La. R.S. 34:2021","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-34-sect-2021.html","Ineligible for appointment to the Jefferson Parish Economic Development and Port District board of commissioners","1","(D)","Relief:
La. R.S. 18:177

See also:
La. Const. Art. I,§ 10(A)
La. R.S. 18:102(A)(1)
La. R.S. 18:102(B)
La. R.S. 18:2(8)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Transportation & commercial motor vehicles|Public employment|Public office|Maritime & sea vessels|Construction, improvement & repair, engineering, plumbing, HVAC, surveying, design & architecture","Any felony","Mandatory/Automatic","Time-limited"
"La. R.S. 37:1026.7","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-37-sect-1026-7.html","Ineligible for certification as medication attendant in licensed nursing home","1","6","See also:
La. R.S. 37:1026.4","Links may point to unofficial sources where direct linking to official sources is unavailable.
See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Education|Occupational & professional licensure & certification","Health care|Pharmacy & drugs|Adult care, nursing homes & residential care facilities|Health care specialists (unlisted)","Any felony|Any misdemeanor","Discretionary","Indefinite"
